Idade,Saiu_da_empresa,Viagens,Departamento,Distancia_de_casa,Educacao,Area_de_formacao,ID_funcionario,Genero,Nivel_posicao,Cargo,Estado_Civel,Renda_mensal,Num_empresas_trabalhou,Aumento_salarial_ultimo_ano_em_%,Nivel_opcao_acoes,Experiencia_anos,Qtd_treinamento_ultimo_ano,Anos_na_empresa,Anos_da_ultima_promocao,Anos_com_mesmo_Gerente
31,Nao,Raramente,Pesquisa e desenvolvimento,20,1,Formacao Tecnica,52,Feminino,3,Pesquisador,Casado,99070,0,13,1,6,3,5,0,3
31,Nao,Raramente,Vendas,7,4,Marketing,53,Masculino,2,Executivo de vendas,Casado,132250,3,21,1,9,2,2,1,0
45,Nao,Frequente,Pesquisa e desenvolvimento,3,1,Medica,54,Feminino,1,Executivo de vendas,Divorciado,35400,1,13,0,24,6,24,9,11
31,Nao,Raramente,Vendas,16,4,Marketing,55,Feminino,2,Pesquisador,Divorciado,28040,0,19,2,3,0,2,2,2
33,Nao,Frequente,Pesquisa e desenvolvimento,9,3,Ciencias da Vida,56,Masculino,4,Diretor de pesquisa,Casado,193920,6,12,1,12,3,10,8,8
39,Nao,Raramente,Vendas,1,4,Ciencias da Vida,57,Masculino,1,Executivo de vendas,Casado,196650,1,22,1,21,6,21,11,10
43,Nao,Frequente,Pesquisa e desenvolvimento,7,4,Medica,58,Masculino,4,Pesquisador,Solteiro,24390,0,15,0,9,2,8,1,7
49,Nao,Raramente,Pesquisa e desenvolvimento,1,3,Ciencias da Vida,59,Masculino,3,Diretor de Manufatura,Solteiro,73140,7,22,0,25,2,7,0,7
52,Sim,Raramente,Pesquisa e desenvolvimento,7,1,Ciencias da Vida,60,Feminino,2,Pesquisador,Casado,47740,2,18,1,11,2,8,7,7
27,Nao,Raramente,Pesquisa e desenvolvimento,15,4,Medica,61,Masculino,3,Pesquisador,Solteiro,39020,1,22,0,4,2,4,1,2
32,Nao,Raramente,Pesquisa e desenvolvimento,1,3,Ciencias da Vida,62,Masculino,3,Pesquisador,Casado,26620,1,11,1,13,6,13,11,9
27,Nao,Raramente,Pesquisa e desenvolvimento,13,2,Medica,63,Feminino,4,Diretor de pesquisa,Solteiro,28560,1,12,2,5,5,5,0,4
31,Nao,Raramente,Vendas,24,3,Ciencias da Vida,64,Masculino,2,Representante de Saude,Divorciado,10810,4,11,3,13,4,7,1,7
32,Nao,Raramente,Pesquisa e desenvolvimento,7,3,Formacao Tecnica,65,Masculino,2,Representante de Saude,Solteiro,24720,7,13,0,10,2,7,0,7
28,Sim,Raramente,Pesquisa e desenvolvimento,9,4,Medica,66,Masculino,1,Executivo de vendas,Casado,56730,5,14,1,5,4,3,2,2
30,Nao,Raramente,Pesquisa e desenvolvimento,13,3,Ciencias da Vida,67,Feminino,4,Diretor de pesquisa,Casado,41970,1,13,0,11,3,10,1,9
31,Nao,Frequente,Pesquisa e desenvolvimento,2,1,Ciencias da Vida,68,Feminino,1,Gerente,Casado,97130,1,17,0,10,5,10,8,9
39,Nao,Frequente,Pesquisa e desenvolvimento,19,4,Medica,69,Feminino,1,Pesquisador,Casado,20620,1,13,0,21,4,21,13,3
39,Sim,Raramente,Pesquisa e desenvolvimento,1,1,Medica,70,Feminino,1,Tecnico de Laboratorio,Casado,42840,4,17,1,12,0,1,0,0
33,Nao,Frequente,Vendas,4,2,Ciencias da Vida,71,Masculino,4,Pesquisador,Solteiro,47880,3,11,1,9,0,7,0,1
47,Nao,Raramente,Pesquisa e desenvolvimento,4,3,Ciencias da Vida,72,Feminino,2,Representante de Saude,Casado,59060,4,23,0,21,4,3,1,1
43,Nao,Frequente,Pesquisa e desenvolvimento,14,3,Medica,73,Feminino,5,Diretor de pesquisa,Divorciado,38860,1,17,2,9,2,9,0,0
27,Nao,Nao,Pesquisa e desenvolvimento,2,3,Ciencias da Vida,74,Masculino,1,Diretor de pesquisa,Casado,168230,0,17,0,6,3,5,1,4
54,Nao,Frequente,Pesquisa e desenvolvimento,1,4,Ciencias da Vida,75,Masculino,2,Pesquisador,Solteiro,29330,3,12,2,20,2,4,0,3
43,Nao,Raramente,Pesquisa e desenvolvimento,7,2,Ciencias da Vida,76,Feminino,2,Gerente,Casado,65000,8,23,0,10,3,1,0,0
45,Nao,Raramente,Vendas,3,1,Marketing,77,Feminino,1,Executivo de vendas,Casado,171740,9,14,1,12,6,10,9,8
40,Nao,Raramente,Pesquisa e desenvolvimento,2,4,Outras,78,Masculino,4,Pesquisador,Casado,50330,2,14,2,6,6,4,0,2
29,Sim,Raramente,Pesquisa e desenvolvimento,29,3,Medica,79,Feminino,1,Pesquisador,Casado,23070,1,13,1,7,0,7,0,7
29,Nao,Raramente,Recursos Humanos,8,3,Medica,80,Masculino,3,Representante de Vendas,Solteiro,25870,0,22,2,4,3,3,2,2
30,Nao,Raramente,Pesquisa e desenvolvimento,10,3,Ciencias da Vida,81,Masculino,2,Pesquisador,Divorciado,55070,1,12,2,10,2,10,1,2
27,Nao,Raramente,Pesquisa e desenvolvimento,11,2,Medica,82,Masculino,1,Gerente,Casado,43930,1,18,1,8,2,8,0,7
37,Nao,Raramente,Vendas,1,4,Ciencias da Vida,83,Masculino,2,Representante de Saude,Divorciado,133480,7,14,0,8,4,6,0,4
38,Nao,Raramente,Pesquisa e desenvolvimento,28,4,Medica,84,Masculino,1,Tecnico de Laboratorio,Divorciado,65830,0,12,0,12,1,11,2,9
31,Nao,Raramente,Pesquisa e desenvolvimento,6,3,Medica,85,Feminino,3,Gerente,Solteiro,81030,1,15,1,11,5,11,4,10
29,Nao,Raramente,Pesquisa e desenvolvimento,3,4,Ciencias da Vida,86,Masculino,3,Executivo de vendas,Divorciado,39780,1,11,0,7,0,7,1,7
35,Nao,Raramente,Vendas,16,2,Formacao Tecnica,87,Masculino,3,Gerente,Solteiro,25440,0,13,1,17,3,16,0,13
23,Nao,Raramente,Pesquisa e desenvolvimento,20,4,Ciencias da Vida,88,Masculino,1,Diretor de Manufatura,Divorciado,53990,1,23,0,4,2,4,0,2
41,Nao,Raramente,Pesquisa e desenvolvimento,9,2,Ciencias da Vida,89,Feminino,1,Tecnico de Laboratorio,Solteiro,54870,6,19,2,8,0,5,1,2
47,Nao,Frequente,Vendas,1,3,Medica,90,Feminino,2,Tecnico de Laboratorio,Solteiro,68340,3,16,1,5,2,0,0,0
42,Nao,Raramente,Pesquisa e desenvolvimento,3,4,Ciencias da Vida,91,Masculino,1,Gerente,Solteiro,10910,2,22,0,16,0,1,0,0
29,Nao,Nao,Vendas,22,4,Marketing,92,Masculino,2,Recursos Humanos,Casado,57360,1,22,0,4,1,4,0,2
42,Nao,Raramente,Vendas,7,4,Medica,93,Masculino,3,Pesquisador,Divorciado,22260,0,12,1,4,3,3,1,0
32,Nao,Raramente,Pesquisa e desenvolvimento,2,3,Medica,94,Masculino,2,Pesquisador,Casado,57470,1,13,0,8,0,8,0,7
48,Nao,Raramente,Vendas,13,4,Medica,95,Masculino,4,Executivo de vendas,Casado,98540,3,16,1,15,2,0,0,0
37,Nao,Raramente,Pesquisa e desenvolvimento,8,5,Formacao Tecnica,96,Masculino,2,Diretor de Manufatura,Divorciado,54670,4,12,0,13,2,7,6,7
30,Nao,Nao,Vendas,25,4,Outras,97,Masculino,1,Representante de Saude,Casado,53800,7,21,1,4,0,2,2,2
26,Nao,Raramente,Vendas,28,3,Medica,98,Feminino,5,Tecnico de Laboratorio,Casado,51510,1,15,3,8,3,8,7,7
42,Nao,Raramente,Vendas,2,2,Medica,99,Feminino,1,Tecnico de Laboratorio,Solteiro,21330,3,13,2,14,2,1,0,0
21,Sim,Frequente,Pesquisa e desenvolvimento,9,3,Medica,100,Feminino,4,Diretor de Manufatura,Solteiro,178750,1,12,0,3,5,3,1,2
36,Nao,Nao,Recursos Humanos,28,3,Recursos Humanos,101,Masculino,2,Tecnico de Laboratorio,Solteiro,24320,4,22,0,7,4,1,0,0
36,Nao,Frequente,Pesquisa e desenvolvimento,6,3,Ciencias da Vida,102,Feminino,2,Pesquisador,Casado,47710,4,13,1,16,2,13,1,12
57,Nao,Raramente,Pesquisa e desenvolvimento,21,4,Ciencias da Vida,103,Masculino,5,Pesquisador,Casado,191610,2,18,0,15,2,3,1,2
40,Nao,Raramente,Pesquisa e desenvolvimento,8,3,Outras,104,Masculino,2,Executivo de vendas,Casado,50870,3,14,1,10,3,7,1,7
21,Nao,Nao,Pesquisa e desenvolvimento,1,5,Ciencias da Vida,105,Feminino,2,Gerente,Solteiro,28630,1,14,0,3,2,3,2,2
33,Sim,Raramente,Recursos Humanos,28,2,Recursos Humanos,106,Feminino,5,Gerente,Solteiro,55610,1,21,1,1,3,1,0,0
37,Nao,Raramente,Pesquisa e desenvolvimento,5,3,Ciencias da Vida,107,Masculino,4,Pesquisador,Casado,21440,6,19,0,17,3,5,0,3
46,Nao,Nao,Vendas,2,4,Marketing,108,Feminino,2,Tecnico de Laboratorio,Casado,30650,2,11,0,7,3,1,0,0
41,Sim,Frequente,Pesquisa e desenvolvimento,16,1,Medica,109,Feminino,1,Pesquisador,Solteiro,28100,1,11,0,8,3,8,7,7
50,Nao,Raramente,Pesquisa e desenvolvimento,9,3,Medica,110,Feminino,3,Tecnico de Laboratorio,Solteiro,98880,6,15,0,20,2,4,1,3
40,Sim,Raramente,Pesquisa e desenvolvimento,8,3,Medica,111,Feminino,1,Representante de Saude,Casado,86280,2,20,0,8,2,6,1,0
31,Nao,Raramente,Pesquisa e desenvolvimento,1,3,Ciencias da Vida,112,Masculino,4,Recursos Humanos,Solteiro,28670,0,24,0,3,5,2,2,2
21,Sim,Raramente,Recursos Humanos,10,2,Recursos Humanos,113,Masculino,1,Tecnico de Laboratorio,Solteiro,53730,1,12,1,1,2,1,0,0
29,Nao,Raramente,Pesquisa e desenvolvimento,1,3,Ciencias da Vida,114,Feminino,2,Diretor de pesquisa,Solteiro,66670,9,12,1,6,6,3,1,2
35,Nao,Raramente,Pesquisa e desenvolvimento,29,3,Ciencias da Vida,115,Feminino,3,Executivo de vendas,Solteiro,50030,9,15,0,10,2,1,0,0
27,Nao,Raramente,Vendas,2,3,Ciencias da Vida,116,Masculino,1,Executivo de vendas,Divorciado,23670,NA,12,1,5,2,5,0,4
28,Nao,Raramente,Pesquisa e desenvolvimento,2,2,Medica,117,Masculino,3,Gerente,Solteiro,28580,1,12,0,7,2,7,0,7
49,Nao,Raramente,Vendas,2,3,Formacao Tecnica,118,Masculino,2,Diretor de Manufatura,Solteiro,52040,8,14,1,26,3,5,0,0
51,Nao,Raramente,Pesquisa e desenvolvimento,1,2,Ciencias da Vida,119,Masculino,1,Executivo de vendas,Casado,41050,4,22,1,18,2,7,0,7
36,Nao,Raramente,Vendas,15,2,Ciencias da Vida,120,Masculino,1,Executivo de vendas,Casado,96790,4,12,0,6,1,2,2,2
34,Sim,Nao,Pesquisa e desenvolvimento,7,3,Ciencias da Vida,121,Masculino,1,Representante de Vendas,Solteiro,56170,8,25,1,9,3,5,0,4
55,Nao,Raramente,Vendas,26,3,Marketing,122,Masculino,1,Tecnico de Laboratorio,Solteiro,104480,2,13,0,30,3,5,1,2
24,Nao,Raramente,Pesquisa e desenvolvimento,1,3,Ciencias da Vida,123,Feminino,5,Gerente,Divorciado,28970,1,18,3,5,4,5,0,3
30,Nao,Raramente,Pesquisa e desenvolvimento,3,3,Ciencias da Vida,124,Feminino,2,Gerente,Casado,59680,1,13,0,1,3,1,0,0
26,Sim,Frequente,Vendas,14,3,Ciencias da Vida,125,Masculino,2,Gerente,Solteiro,75100,0,18,3,7,3,6,0,4
22,Nao,Raramente,Pesquisa e desenvolvimento,16,5,Outras,126,Masculino,1,Pesquisador,Casado,29910,1,19,2,2,3,2,1,2
36,Nao,Raramente,Pesquisa e desenvolvimento,1,3,Medica,127,Feminino,5,Representante de Saude,Casado,196360,1,12,1,10,3,10,9,0
30,Sim,Frequente,Vendas,3,2,Marketing,128,Masculino,3,Pesquisador,Solteiro,11290,9,19,0,3,2,1,0,0
37,Nao,Raramente,Pesquisa e desenvolvimento,10,1,Formacao Tecnica,129,Masculino,1,Executivo de vendas,Divorciado,133410,1,14,1,18,3,18,12,17
40,Nao,Raramente,Pesquisa e desenvolvimento,6,2,Medica,130,Masculino,3,Pesquisador,Divorciado,43320,7,14,2,8,3,5,1,3
42,Nao,Raramente,Pesquisa e desenvolvimento,2,3,Medica,131,Feminino,4,Gerente,Divorciado,110310,3,12,1,8,2,5,1,2
37,Nao,Raramente,Vendas,9,1,Marketing,132,Masculino,3,Executivo de vendas,Solteiro,44400,2,11,1,18,3,1,0,1
43,Nao,Raramente,Vendas,10,2,Ciencias da Vida,133,Feminino,1,Executivo de vendas,Divorciado,46170,1,11,0,25,2,25,3,9
40,Nao,Raramente,Vendas,6,2,Ciencias da Vida,134,Feminino,1,Tecnico de Laboratorio,Casado,26470,6,13,0,20,2,1,0,0
54,Nao,Raramente,Recursos Humanos,9,3,Ciencias da Vida,135,Feminino,2,Diretor de Manufatura,Casado,63230,4,23,1,24,2,4,1,2
34,Nao,Nao,Pesquisa e desenvolvimento,28,3,Medica,136,Masculino,1,Tecnico de Laboratorio,Casado,56770,9,20,1,6,3,3,1,2
31,Nao,Raramente,Pesquisa e desenvolvimento,10,4,Ciencias da Vida,137,Masculino,3,Executivo de vendas,Casado,21870,1,15,1,13,2,13,3,12
43,Nao,Frequente,Vendas,14,3,Ciencias da Vida,138,Feminino,1,Diretor de Manufatura,Casado,37480,7,14,2,NA,3,3,1,2
43,Nao,Raramente,Vendas,27,4,Ciencias da Vida,139,Masculino,2,Representante de Vendas,Divorciado,39770,4,18,1,8,3,5,0,2
25,Nao,Raramente,Recursos Humanos,7,2,Recursos Humanos,140,Masculino,1,Diretor de Manufatura,Solteiro,86330,1,19,1,5,2,5,1,3
37,Nao,Nao,Pesquisa e desenvolvimento,1,3,Medica,141,Masculino,3,Tecnico de Laboratorio,Casado,20080,3,22,0,15,5,13,10,7
31,Nao,Raramente,Pesquisa e desenvolvimento,24,1,Medica,142,Masculino,3,Tecnico de Laboratorio,Casado,44400,1,13,1,4,2,4,3,2
39,Nao,Frequente,Pesquisa e desenvolvimento,26,4,Formacao Tecnica,143,Feminino,1,Executivo de vendas,Divorciado,30670,1,20,1,21,5,21,1,6
56,Nao,Frequente,Pesquisa e desenvolvimento,20,4,Ciencias da Vida,144,Feminino,3,Executivo de vendas,Casado,53210,9,14,0,36,1,7,7,7
30,Nao,Raramente,Vendas,5,4,Medica,145,Feminino,2,Diretor de Manufatura,Solteiro,54100,0,17,1,6,2,5,4,4
41,Nao,Raramente,Pesquisa e desenvolvimento,7,3,Formacao Tecnica,146,Feminino,3,Pesquisador,Casado,27820,1,14,0,10,2,10,0,7
28,Nao,Raramente,Pesquisa e desenvolvimento,7,3,Medica,147,Masculino,3,Representante de Saude,Divorciado,119570,1,13,0,10,2,10,1,8
25,Sim,Raramente,Pesquisa e desenvolvimento,5,2,Ciencias da Vida,148,Feminino,3,Tecnico de Laboratorio,Casado,26600,5,13,0,6,3,2,0,2
52,Nao,Raramente,Pesquisa e desenvolvimento,26,2,Ciencias da Vida,149,Feminino,2,Representante de Vendas,Casado,33750,2,21,0,28,2,5,0,4
45,Nao,Raramente,Pesquisa e desenvolvimento,2,3,Medica,150,Feminino,1,Executivo de vendas,Casado,50980,3,14,1,8,4,2,0,2
52,Nao,Raramente,Pesquisa e desenvolvimento,12,3,Medica,151,Masculino,2,Pesquisador,Casado,48780,2,11,1,31,3,5,1,4
42,Nao,Frequente,Vendas,10,3,Marketing,152,Feminino,2,Representante de Saude,Divorciado,28370,2,13,1,19,0,5,0,2
30,Nao,Raramente,Vendas,25,3,Marketing,153,Masculino,1,Executivo de vendas,Solteiro,24060,2,20,1,11,5,5,0,2
60,Nao,Raramente,Pesquisa e desenvolvimento,10,3,Ciencias da Vida,154,Feminino,1,Diretor de Manufatura,Casado,22690,5,18,1,33,4,29,11,10
46,Nao,Raramente,Vendas,19,4,Marketing,155,Feminino,1,Executivo de vendas,Divorciado,41080,2,14,0,19,5,10,0,8
42,Nao,Frequente,Pesquisa e desenvolvimento,18,4,Formacao Tecnica,156,Masculino,4,Executivo de vendas,Casado,132060,0,13,2,7,2,6,0,4
24,Sim,Raramente,Pesquisa e desenvolvimento,27,2,Medica,157,Masculino,1,Pesquisador,Solteiro,104220,1,17,1,6,0,5,1,4
34,Sim,Frequente,Pesquisa e desenvolvimento,5,3,Medica,158,Masculino,2,Pesquisador,Divorciado,137440,0,20,1,3,3,2,1,0
38,Nao,Frequente,Vendas,3,3,Marketing,159,Feminino,2,Executivo de vendas,Casado,49070,1,11,1,1,3,1,0,0
40,Nao,Raramente,Vendas,26,4,Marketing,160,Feminino,1,Executivo de vendas,Casado,34820,0,18,1,21,2,20,1,12
26,Nao,Raramente,Pesquisa e desenvolvimento,3,2,Medica,161,Feminino,4,Representante de Saude,Divorciado,24360,1,24,0,3,2,3,0,2
30,Nao,Nao,Pesquisa e desenvolvimento,15,3,Medica,162,Feminino,2,Executivo de vendas,Casado,23800,4,18,3,9,2,5,1,4
29,Nao,Raramente,Pesquisa e desenvolvimento,8,3,Medica,163,Feminino,3,Diretor de Manufatura,Casado,194310,1,11,0,10,3,10,0,7
29,Sim,Raramente,Pesquisa e desenvolvimento,19,4,Ciencias da Vida,164,Masculino,3,Pesquisador,Casado,17900,5,16,1,6,4,2,1,1
19,Sim,Raramente,Pesquisa e desenvolvimento,4,3,Medica,165,Masculino,1,Executivo de vendas,Solteiro,76440,1,15,2,1,2,1,0,0
30,Nao,Nao,Pesquisa e desenvolvimento,2,4,Ciencias da Vida,166,Feminino,3,Pesquisador,Casado,51310,0,15,1,10,2,9,7,8
57,Nao,Raramente,Pesquisa e desenvolvimento,2,2,Ciencias da Vida,167,Masculino,4,Pesquisador,Divorciado,63060,3,12,1,32,3,1,0,0
50,Nao,Raramente,Vendas,10,4,Ciencias da Vida,168,Feminino,3,Gerente,Casado,47870,0,12,0,28,3,27,15,7
30,Nao,Nao,Vendas,10,2,Ciencias da Vida,169,Masculino,3,Tecnico de Laboratorio,Solteiro,188800,0,22,1,12,3,11,6,7
60,Nao,Frequente,Pesquisa e desenvolvimento,16,3,Ciencias da Vida,170,Feminino,4,Tecnico de Laboratorio,Casado,23390,4,20,0,22,4,18,13,11
47,Nao,Raramente,Pesquisa e desenvolvimento,1,3,Formacao Tecnica,171,Masculino,5,Diretor de Manufatura,Divorciado,135700,5,16,2,20,2,5,0,4
46,Nao,Raramente,Vendas,4,1,Formacao Tecnica,172,Masculino,1,Tecnico de Laboratorio,Casado,67120,6,21,1,26,3,3,0,1
35,Nao,Raramente,Pesquisa e desenvolvimento,15,2,Medica,173,Feminino,2,Tecnico de Laboratorio,Solteiro,54060,0,12,1,6,2,5,4,3
54,Nao,Raramente,Pesquisa e desenvolvimento,2,4,Medica,174,Masculino,2,Recursos Humanos,Solteiro,89380,7,11,3,19,2,1,0,0
34,Nao,Raramente,Vendas,8,2,Ciencias da Vida,175,Masculino,1,Tecnico de Laboratorio,Divorciado,24390,3,11,2,14,2,7,5,7
46,Nao,Raramente,Pesquisa e desenvolvimento,2,3,Ciencias da Vida,176,Masculino,1,Representante de Saude,Casado,88370,2,18,0,15,3,3,1,2
31,Nao,Raramente,Pesquisa e desenvolvimento,7,3,Ciencias da Vida,177,Masculino,2,Diretor de pesquisa,Divorciado,53430,1,14,1,13,3,13,0,8
